"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"Rt_adj[8]",3.74082603015298,0.0276853836053888,1.55114086576492,1.01691435379083,2.62355852305677,3.61935949242496,4.75578398245573,6.97770945720874,3139.072806325,0.999476097231567
"Rt_adj[9]",3.74969080399785,0.0291220665606195,1.62242890691643,0.936428826286586,2.5732048599768,3.66379291780164,4.79173880786943,7.15242896570093,3103.75170297671,0.999493122975006
"Rt_adj[10]",3.76816812251517,0.0283655515285138,1.57543671595442,0.985821571051069,2.65737765043127,3.65189540833223,4.78362042747627,7.17391879529429,3084.74636207158,0.999830594577994
"Rt_adj[11]",2.43664480605748,0.0226455164844722,1.2738481815229,0.466129748440324,1.48043239421868,2.28228600465139,3.24950442019365,5.21267600670217,3164.25068212378,1.00066162879001
"Rt_adj[12]",3.07531653874176,0.0281186568871646,1.46428602262076,0.603041957092113,1.99561719876326,2.95684056234327,4.04745294852596,6.2587010458352,2711.83142386957,0.999984074283657
"Rt_adj[13]",3.4858727275495,0.027684965355574,1.52140605666658,0.857393970713241,2.35909669656142,3.39557640267932,4.46625713579402,6.75578927892905,3019.96780369786,1.00042158647366
"Rt_adj[14]",3.67077011295708,0.0280837436630579,1.60503851547041,0.826428454191501,2.52871138526034,3.58877205751246,4.72509049100612,7.07012771620082,3266.33644200272,1.00111546070469
"Rt_adj[15]",3.68573971535027,0.0290176955604203,1.59626585302994,0.9128967230609,2.51413688655714,3.59470759071883,4.73454974846508,6.96991931790907,3026.10927634003,0.999416264455961
"Rt_adj[16]",3.58656815251006,0.028412495061931,1.5810458989245,0.872366424713422,2.43227021835706,3.43803895617989,4.61987427122213,6.93415854699957,3096.49376240014,1.00034636469731
"Rt_adj[17]",3.13560564557523,0.0252999107596399,1.46212437992308,0.701538201848425,2.04982530610038,3.04089483590079,4.06865342469225,6.28680856529987,3339.87842923295,0.999629895534801
"Rt_adj[18]",2.44329116158864,0.0226807619525218,1.26424084867792,0.468392280679045,1.46789304464929,2.2975599632596,3.22983435919583,5.28148719631962,3107.02220030033,0.999636950274099
"Rt_adj[19]",2.52067206454701,0.0226688813304791,1.21970865514808,0.564277979518089,1.59512643922702,2.38803522272567,3.30501741871418,5.19214646646089,2895.02309905144,0.999437165431967
"Rt_adj[20]",2.9622409226696,0.0247863351627556,1.36637758652588,0.684524291653336,1.96963956990971,2.84482182527555,3.84520647450893,5.97299032924687,3038.9028953249,0.999982498923251
"Rt_adj[21]",3.50748708474938,0.027710981144214,1.45138878209321,0.899240204081587,2.47432305890447,3.41114905665063,4.48101372381672,6.56945377469375,2743.23945507431,1.00068584457
"Rt_adj[22]",3.7356234503826,0.0254156217715926,1.44388179248281,1.17383515677314,2.71856398021269,3.66832068834106,4.69275823602898,6.66253822945504,3227.46693915428,1.00029330940594
"Rt_adj[23]",3.31284405443862,0.0252567542815908,1.34339643213658,0.949292457968423,2.33556523450535,3.23749128720855,4.23577581187985,6.09561349269574,2829.13259879735,0.999822238032767
"Rt_adj[24]",2.36679776701314,0.0197904872952811,1.07895253439648,0.592793975429527,1.58803148958924,2.27119099306524,3.04474792649109,4.69325260134906,2972.29357907076,0.999432994777637
"Rt_adj[25]",1.48448309594685,0.0134735858722544,0.752401055993177,0.314724788808644,0.925722614122233,1.40812173021413,1.9407148126373,3.177130454287,3118.40417744933,0.999646745836713
"Rt_adj[26]",0.910123259672944,0.00879812939594671,0.50071207462953,0.159631184028873,0.533476284718448,0.839838655248997,1.20826172786511,2.02152221671895,3238.88433550308,1.00044763059429
"Rt_adj[27]",0.613617097166005,0.0062688171379323,0.361402046883218,0.0911376794408297,0.338847452327873,0.554498928761385,0.822445790829582,1.44663990614497,3323.60966103822,1.00020799218204
"Rt_adj[28]",0.49946964436978,0.00557837541185952,0.303071748180109,0.0779093098791484,0.273278184118557,0.444650253111396,0.664666384346991,1.21877048495588,2951.72186454977,0.999707066479371
"Rt_adj[29]",0.546317658435982,0.00592235150869309,0.329067002609713,0.0780969449689738,0.299472634464054,0.484923720323405,0.732556119224593,1.33115894224334,3087.310498632,0.999759071867178
"Rt_adj[30]",0.794705724276003,0.0082151991044156,0.450682380418834,0.136577417044738,0.46124824186064,0.728218322065278,1.05389270720672,1.86923027407809,3009.57362374289,1.00047579330497
"Rt_adj[31]",1.41472624845641,0.0120802352064353,0.702543313449034,0.308892927890203,0.896893475242793,1.34177198477351,1.85255146483048,3.02441870332734,3382.16996792998,0.999702995638945
"Rt_adj[32]",2.52434647906049,0.0194352958237181,1.0314243005673,0.732482387790072,1.78641361288051,2.44827380912687,3.18141858375138,4.78946351327594,2816.38749748495,0.999641723860784
"Rt_adj[33]",3.84741199820012,0.0232452142867776,1.32008052003047,1.42113380802236,2.93483240354439,3.77476299574732,4.68980436471334,6.68173936083038,3225.02983403241,0.999765708486251
"Rt_adj[34]",4.54551695158616,0.0249562283106236,1.40177395586758,1.88234308983278,3.59349218605257,4.48022632953183,5.43507339105198,7.40521962856566,3154.99062719403,0.99953816048592
"Rt_adj[35]",4.53552631771154,0.0224214392424617,1.32055494833161,2.1001284903437,3.61126376616549,4.48339300388846,5.38375060240111,7.29388582920005,3468.85367362985,0.999518922992597
"Rt_adj[36]",3.36104377928174,0.0174669655935363,1.01209931786844,1.46909044927563,2.64549492190468,3.33522494387854,4.0137983139282,5.45948709541463,3357.46376856214,1.00003037412478
"Rt_adj[37]",1.83424100216051,0.0116622935906412,0.652109606801947,0.682207491929859,1.37041380594457,1.79316730630557,2.23049310134589,3.22615805004349,3126.6067118991,1.00018304389203
"Rt_adj[38]",0.902642266870069,0.00722167122616525,0.395065949921485,0.235021932286318,0.617478777635365,0.8656468365916,1.13957555119185,1.77236206785184,2992.70407264145,1.00103262257021
"Rt_adj[39]",0.525497823238351,0.00464384779472544,0.258776946984539,0.112356251363484,0.33220574065703,0.497088558906456,0.682149002659443,1.11831581260806,3105.24031280719,1.00092562274935
"Rt_adj[40]",0.48302075269977,0.00420087052507905,0.240549591485942,0.103822477069021,0.304351382710206,0.453314320590555,0.621644625943399,1.01658576199415,3278.91874596591,0.999546740395291
"Rt_adj[41]",0.610294395035236,0.00505345306286645,0.281519178717269,0.151074619095059,0.401422658288503,0.584195353934152,0.779531371263778,1.24787797999324,3103.4124721168,0.999900154069316
"Rt_adj[42]",0.916773748259758,0.00693368869811675,0.380864104990403,0.258924079507856,0.643504907608317,0.888571507042975,1.15352476075392,1.73803697256422,3017.25078856046,0.999455079291204
"Rt_adj[43]",1.39188061237153,0.00895817346894017,0.49533006448111,0.499631484781699,1.0426734443767,1.35381728103742,1.71043560890614,2.42692953761035,3057.38718776945,0.999672308644845
"Rt_adj[44]",1.97426039636608,0.0112298866931856,0.63081027113419,0.829749827097984,1.53026043282564,1.94814623889019,2.38668440748652,3.27777383645484,3155.34436264969,1.00053216248271
"Rt_adj[45]",2.58011068178488,0.0127869663352299,0.744945732266453,1.2250582725658,2.04941665562582,2.55254414927163,3.05183004336648,4.20191285254947,3394.01868838226,0.99949243125072
"Rt_adj[46]",2.94420261858032,0.0133461498197056,0.775514411612529,1.53830513823156,2.3930936152524,2.89460080899002,3.46601166693718,4.5262613845334,3376.50777503697,0.999676350967036
"Rt_adj[47]",2.95217524433056,0.012927241682613,0.736093659147794,1.57388194470121,2.44516539906148,2.91501667867889,3.43250271862416,4.46309055415951,3242.30911142165,0.999679339696991
"Rt_adj[48]",2.72084932532019,0.0114432548635799,0.653509470895934,1.54158956470237,2.26994229912056,2.69884126327356,3.14606955956862,4.11074637160114,3261.40423320891,0.999834759843767
"Rt_adj[49]",2.4193241816635,0.0100047325324094,0.549320513273877,1.39096111219526,2.0385922245663,2.39854174587049,2.7792744473205,3.5527675098146,3014.67617729927,1.00031286236858
"Rt_adj[50]",2.17653587769033,0.00848428637215835,0.467098134181526,1.30138271865621,1.85165594012586,2.16561839948934,2.48295391477831,3.13284578899494,3030.99784183971,0.999685683897279
